Employee No.,Date Hired,Section,Last Name,First Name,Middle Name,Registered Address,Zip Code,Birthday,TIN,Civil Status,No. of Dependents,Previous Employer,Position,Employment Status,Date of Resignation,Remarks
BNEI-001,4-Apr-13,Production/Administration,Salud,Arvin,Madeja,"972 Int. Inocencio St., San Roque, Cavite City",4100,20-Oct-75,908718301,Married,,,Deputy General Manager,Active,,NPE | WPE | With Previous Employer
BNEI-002,22-Apr-13,Project Engineering,Libuit,Augusto,Llanes,"No. 382 Tinurik, Tanauan, Batangas",4232,2-Aug-79,230407406,Married,,,Senior Engineer,Active,,NPE
BNEI-003,17-May-13,Production Planning,Llarena,Ivy Sheena,Torres,"347 Brgy Cale, Tanauan City, Batangas",4232,2-Apr-89,405577397,Single,,Device Dynamic Asia Philippines,Senior Supervisor,Active,,NPE
00050,1-Jul-13,Product Assurance,Almero,Lesley,Masarap,"1594 Brgy. Marawouy, Lipa City, Batangas",4217,4-Mar-91,312720111,Married,,Epson Precision Philippines,Senior Manager,Active,,NPE
00062,27-Aug-13,Assembly,Ebreo,Danica,Pabelonia,"No. 531 Plaridel, Lipa City, Batangas",4217,17-Nov-91,440464421,Married,,,Assistant Manager,Active,,NPE
00065,27-Aug-13,Decoration,Belen,Ma. Angelina,Lejero,"Blk. 1, Lot 5 St. Mary's Subd. Inosluban, Lipa City",4217,20-Nov-90,272772906,Single,,,Assistant Manager,Active,,NPE
00073,21-Oct-13,Process Engineering,Andal,Marilou,Sarmiento,"Bago, Ibaan, Batangas",4230,26-Feb-82,234742003,Married,,,Manager,Active,,NPE
00083,1-Apr-14,Injection and Mold Maintenance,Redondo,Maria Sarah Jane,Liwanag,"Malabanan, Balete, Batangas",4219,23-Aug-89,261704340,Married,,,Senior Supervisor,Active,,NPE
00088,1-Apr-14,Decoration,Domingo,Melroshelle,Araracap,"Ph 1, Blk 2, Lot 32, Southbrooke Village, Bulacnin, Lipa City, Batangas",4217,16-May-87,274968784,Single,,,Supervisor,Active,,NPE
00104,5-May-14,Accounting,Atienza,Maria Cristina,Hidalgo,"Blk 10 Lot 2 Citta Maria Subdivision Brgy Darasa, Tanauan City, Batangas",4232,25-Dec-76,167473108,Married,,V Roque Corporation,Manager,Active,,NPE
