sourcePersonKey,employeeId,personalInfo,contactInfo,identification,metadata
PERSON-001,BNEI-001,"{""firstName"":""Arvin"",""lastName"":""Salud"",""middleName"":""Madeja"",""birthDate"":""1975-10-20""}","{""email"":""alice.tan@example.com"",""phone"":""09170000001""}","{""tin"":""908718301"",""sss"":""10-0000001-1""}","{""source"":""sample-pack""}"
PERSON-002,BNEI-002,"{""firstName"":""Augusto"",""lastName"":""Libuit"",""middleName"":""Llanes"",""birthDate"":""1979-08-02""}","{""email"":""ben.reyes@example.com"",""phone"":""09170000002""}","{""tin"":""230407406"",""sss"":""10-0000002-2""}","{""source"":""sample-pack""}"
PERSON-003,BNEI-003,"{""firstName"":""Ivy Sheena"",""lastName"":""Llarena"",""middleName"":""Torres"",""birthDate"":""1989-04-02""}","{""email"":""cara.delacruz@example.com"",""phone"":""09170000003""}","{""tin"":""405577397"",""sss"":""10-0000003-3""}","{""source"":""sample-pack""}"
PERSON-004,00050,"{""firstName"":""Lesley"",""lastName"":""Almero"",""middleName"":""Masarap"",""birthDate"":""1991-03-04""}","{""email"":""lesley.almero@example.com"",""phone"":""09170000050""}","{""tin"":""312720111""}","{""source"":""sample-pack""}"
PERSON-005,00062,"{""firstName"":""Danica"",""lastName"":""Ebreo"",""middleName"":""Pabelonia"",""birthDate"":""1991-11-17""}","{""email"":""danica.ebreo@example.com"",""phone"":""09170000062""}","{""tin"":""440464421""}","{""source"":""sample-pack""}"
PERSON-006,00065,"{""firstName"":""Ma. Angelina"",""lastName"":""Belen"",""middleName"":""Lejero"",""birthDate"":""1990-11-20""}","{""email"":""angelina.belen@example.com"",""phone"":""09170000065""}","{""tin"":""272772906""}","{""source"":""sample-pack""}"
PERSON-007,00073,"{""firstName"":""Marilou"",""lastName"":""Andal"",""middleName"":""Sarmiento"",""birthDate"":""1982-02-26""}","{""email"":""marilou.andal@example.com"",""phone"":""09170000073""}","{""tin"":""234742003""}","{""source"":""sample-pack""}"
PERSON-008,00083,"{""firstName"":""Maria Sarah Jane"",""lastName"":""Redondo"",""middleName"":""Liwanag"",""birthDate"":""1989-08-23""}","{""email"":""sarahjane.redondo@example.com"",""phone"":""09170000083""}","{""tin"":""261704340""}","{""source"":""sample-pack""}"
PERSON-009,00088,"{""firstName"":""Melroshelle"",""lastName"":""Domingo"",""middleName"":""Araracap"",""birthDate"":""1987-05-16""}","{""email"":""melroshelle.domingo@example.com"",""phone"":""09170000088""}","{""tin"":""274968784""}","{""source"":""sample-pack""}"
PERSON-010,00104,"{""firstName"":""Maria Cristina"",""lastName"":""Atienza"",""middleName"":""Hidalgo"",""birthDate"":""1976-12-25""}","{""email"":""maria.atienza@example.com"",""phone"":""09170000104""}","{""tin"":""167473108""}","{""source"":""sample-pack""}"
PERSON-011,01364,"{""firstName"":""Dianne"",""lastName"":""Garcia"",""middleName"":""Dimaano"",""birthDate"":""1997-02-19""}","{""email"":""dianne.garcia@example.com"",""phone"":""09170001364""}","{""tin"":""712-704-563""}","{""source"":""sample-pack""}"
PERSON-012,01414,"{""firstName"":""Jennelene"",""lastName"":""Santos"",""middleName"":""Masarap"",""birthDate"":""1994-08-11""}","{""email"":""jennelene.santos@example.com"",""phone"":""09170001414""}","{""tin"":""340-403-289""}","{""source"":""sample-pack""}"
PERSON-013,01623,"{""firstName"":""Diovelyn"",""lastName"":""Macaraig"",""birthDate"":""1997-03-07""}","{""email"":""diovelyn.macaraig@example.com"",""phone"":""09170001623""}","{""tin"":""342-429-550""}","{""source"":""sample-pack""}"
PERSON-014,20013,"{""firstName"":""Marco"",""lastName"":""Delos Reyes"",""middleName"":""Garcia"",""birthDate"":""1994-02-12""}","{""email"":""marco.delos-reyes.14@example.com"",""phone"":""09175000013""}","{""tin"":""813-413-113"",""sss"":""10-2000013-5""}","{""source"":""sample-pack""}"
PERSON-015,20014,"{""firstName"":""Elena"",""lastName"":""Manalo"",""middleName"":""Lopez"",""birthDate"":""1995-03-17""}","{""email"":""elena.manalo.15@example.com"",""phone"":""09175000014""}","{""tin"":""814-414-114"",""sss"":""10-2000014-6""}","{""source"":""sample-pack""}"
PERSON-016,20015,"{""firstName"":""Hannah"",""lastName"":""De Leon"",""middleName"":""Torres"",""birthDate"":""1996-04-22""}","{""email"":""hannah.de-leon.16@example.com"",""phone"":""09175000015""}","{""tin"":""815-415-115"",""sss"":""10-2000015-7""}","{""source"":""sample-pack""}"
PERSON-017,20016,"{""firstName"":""Gabriel"",""lastName"":""Padilla"",""middleName"":""Flores"",""birthDate"":""1997-05-27""}","{""email"":""gabriel.padilla.17@example.com"",""phone"":""09175000016""}","{""tin"":""816-416-116"",""sss"":""10-2000016-8""}","{""source"":""sample-pack""}"
PERSON-018,20017,"{""firstName"":""Carla"",""lastName"":""Villareal"",""middleName"":""Ramos"",""birthDate"":""1998-06-05""}","{""email"":""carla.villareal.18@example.com"",""phone"":""09175000017""}","{""tin"":""817-417-117"",""sss"":""10-2000017-9""}","{""source"":""sample-pack""}"
PERSON-019,20018,"{""firstName"":""Rafael"",""lastName"":""Samonte"",""middleName"":""Diaz"",""birthDate"":""1981-07-10""}","{""email"":""rafael.samonte.19@example.com"",""phone"":""09175000018""}","{""tin"":""818-418-118"",""sss"":""10-2000018-1""}","{""source"":""sample-pack""}"
PERSON-020,20019,"{""firstName"":""Bianca"",""lastName"":""Yambao"",""middleName"":""Mendoza"",""birthDate"":""1982-08-15""}","{""email"":""bianca.yambao.20@example.com"",""phone"":""09175000019""}","{""tin"":""819-419-119"",""sss"":""10-2000019-2""}","{""source"":""sample-pack""}"
PERSON-021,20020,"{""firstName"":""Liam"",""lastName"":""Navarro"",""middleName"":""Santos"",""birthDate"":""1983-09-20""}","{""email"":""liam.navarro.21@example.com"",""phone"":""09175000020""}","{""tin"":""820-420-120"",""sss"":""10-2000020-3""}","{""source"":""sample-pack""}"
PERSON-022,20021,"{""firstName"":""Noah"",""lastName"":""Morales"",""middleName"":""Reyes"",""birthDate"":""1984-10-25""}","{""email"":""noah.morales.22@example.com"",""phone"":""09175000021""}","{""tin"":""821-421-121"",""sss"":""10-2000021-4""}","{""source"":""sample-pack""}"
PERSON-023,20022,"{""firstName"":""Ethan"",""lastName"":""Villanueva"",""middleName"":""Cruz"",""birthDate"":""1985-11-03""}","{""email"":""ethan.villanueva.23@example.com"",""phone"":""09175000022""}","{""tin"":""822-422-122"",""sss"":""10-2000022-5""}","{""source"":""sample-pack""}"
PERSON-024,20023,"{""firstName"":""Lucas"",""lastName"":""Pascual"",""middleName"":""Garcia"",""birthDate"":""1986-12-08""}","{""email"":""lucas.pascual.24@example.com"",""phone"":""09175000023""}","{""tin"":""823-423-123"",""sss"":""10-2000023-6""}","{""source"":""sample-pack""}"
PERSON-025,20024,"{""firstName"":""Aiden"",""lastName"":""Valdez"",""middleName"":""Lopez"",""birthDate"":""1987-01-13""}","{""email"":""aiden.valdez.25@example.com"",""phone"":""09175000024""}","{""tin"":""824-424-124"",""sss"":""10-2000024-7""}","{""source"":""sample-pack""}"
PERSON-026,20025,"{""firstName"":""Mia"",""lastName"":""Soriano"",""middleName"":""Torres"",""birthDate"":""1988-02-18""}","{""email"":""mia.soriano.26@example.com"",""phone"":""09175000025""}","{""tin"":""825-425-125"",""sss"":""10-2000025-8""}","{""source"":""sample-pack""}"
PERSON-027,20026,"{""firstName"":""Emma"",""lastName"":""Dominguez"",""middleName"":""Flores"",""birthDate"":""1989-03-23""}","{""email"":""emma.dominguez.27@example.com"",""phone"":""09175000026""}","{""tin"":""826-426-126"",""sss"":""10-2000026-9""}","{""source"":""sample-pack""}"
PERSON-028,20027,"{""firstName"":""Sophia"",""lastName"":""Mercado"",""middleName"":""Ramos"",""birthDate"":""1990-04-01""}","{""email"":""sophia.mercado.28@example.com"",""phone"":""09175000027""}","{""tin"":""827-427-127"",""sss"":""10-2000027-1""}","{""source"":""sample-pack""}"
PERSON-029,20028,"{""firstName"":""Olivia"",""lastName"":""Castillo"",""middleName"":""Diaz"",""birthDate"":""1991-05-06""}","{""email"":""olivia.castillo.29@example.com"",""phone"":""09175000028""}","{""tin"":""828-428-128"",""sss"":""10-2000028-2""}","{""source"":""sample-pack""}"
PERSON-030,20029,"{""firstName"":""Ava"",""lastName"":""Aquino"",""middleName"":""Mendoza"",""birthDate"":""1992-06-11""}","{""email"":""ava.aquino.30@example.com"",""phone"":""09175000029""}","{""tin"":""829-429-129"",""sss"":""10-2000029-3""}","{""source"":""sample-pack""}"
PERSON-031,20030,"{""firstName"":""Isla"",""lastName"":""Cabrera"",""middleName"":""Santos"",""birthDate"":""1993-07-16""}","{""email"":""isla.cabrera.31@example.com"",""phone"":""09175000030""}","{""tin"":""830-430-130"",""sss"":""10-2000030-4""}","{""source"":""sample-pack""}"
PERSON-032,20031,"{""firstName"":""Leah"",""lastName"":""Fuentes"",""middleName"":""Reyes"",""birthDate"":""1994-08-21""}","{""email"":""leah.fuentes.32@example.com"",""phone"":""09175000031""}","{""tin"":""831-431-131"",""sss"":""10-2000031-5""}","{""source"":""sample-pack""}"
