employeeId,firstName,lastName,middleName,email,role,departmentCode,departmentName,positionCode,positionTitle,levelName,levelRank,basicSalary,currency,payFrequency,employmentType,employmentStatus,workLocation,hireDate,reportToEmployeeId
EMP-00001,Kevin,Lopez,Sofia,kevin.lopez.1@example.com,CTO,IT,IT Department,IT-CTO,CTO,Director / Head,1,162755,PHP,SEMI_MONTHLY,CONSULTANT,ACTIVE,REMOTE,2021-01-10,
EMP-00002,Maria,Soriano,Kevin,maria.soriano.2@example.com,CTO,IT,IT Department,IT-CTO,CTO,Director / Head,1,201789,PHP,SEMI_MONTHLY,CONSULTANT,ACTIVE,HYBRID,2021-04-24,
EMP-00003,Grace,Gonzales,,grace.gonzales.3@example.com,CTO,IT,IT Department,IT-CTO,CTO,Director / Head,1,174544,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2020-09-20,
EMP-00004,Angela,Castro,,angela.castro.4@example.com,CTO,IT,IT Department,IT-CTO,CTO,Director / Head,1,160984,PHP,SEMI_MONTHLY,CONSULTANT,ACTIVE,REMOTE,2021-07-14,
EMP-00005,Angela,Fernandez,,angela.fernandez.5@example.com,CTO,IT,IT Department,IT-CTO,CTO,Director / Head,1,226437,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,HYBRID,2020-02-17,
EMP-00006,John,Lopez,Rafael,john.lopez.6@example.com,CTO,IT,IT Department,IT-CTO,CTO,Director / Head,1,237971,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2021-01-28,
EMP-00007,Angela,Bautista,,angela.bautista.7@example.com,CTO,IT,IT Department,IT-CTO,CTO,Director / Head,1,166409,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2021-02-08,
EMP-00008,James,Fernandez,Isabella,james.fernandez.8@example.com,CTO,IT,IT Department,IT-CTO,CTO,Director / Head,1,201878,PHP,SEMI_MONTHLY,CONSULTANT,ACTIVE,REMOTE,2021-11-17,
EMP-00009,Grace,Vargas,,grace.vargas.9@example.com,CTO,IT,IT Department,IT-CTO,CTO,Director / Head,1,202342,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2020-04-16,
EMP-00010,Miguel,Lopez,,miguel.lopez.10@example.com,CTO,IT,IT Department,IT-CTO,CTO,Director / Head,1,253300,PHP,SEMI_MONTHLY,CONSULTANT,ACTIVE,REMOTE,2021-11-23,
EMP-00011,James,Fernandez,,james.fernandez.11@example.com,CTO,IT,IT Department,IT-CTO,CTO,Director / Head,1,165775,PHP,SEMI_MONTHLY,CONSULTANT,ACTIVE,HYBRID,2021-12-21,
EMP-00012,Rafael,Vargas,,rafael.vargas.12@example.com,CTO,IT,IT Department,IT-CTO,CTO,Director / Head,1,178068,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,HYBRID,2021-06-14,
EMP-00013,Kevin,Torres,,kevin.torres.13@example.com,CTO,IT,IT Department,IT-CTO,CTO,Director / Head,1,192901,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,HYBRID,2020-01-23,
EMP-00014,Isabella,Santos,,isabella.santos.14@example.com,CTO,IT,IT Department,IT-CTO,CTO,Director / Head,1,253664,PHP,SEMI_MONTHLY,CONSULTANT,ACTIVE,ONSITE,2021-08-07,
EMP-00015,Daniel,Reyes,Nicole,daniel.reyes.15@example.com,CTO,IT,IT Department,IT-CTO,CTO,Director / Head,1,230499,PHP,SEMI_MONTHLY,CONSULTANT,ACTIVE,ONSITE,2020-02-18,
EMP-00016,Daniel,Lopez,Mark,daniel.lopez.16@example.com,CTO,IT,IT Department,IT-CTO,CTO,Director / Head,1,217838,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2021-12-01,
EMP-00017,Mark,Aquino,Patricia,mark.aquino.17@example.com,CTO,IT,IT Department,IT-CTO,CTO,Director / Head,1,182602,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2021-03-13,
EMP-00018,Maria,Fernandez,,maria.fernandez.18@example.com,CTO,IT,IT Department,IT-CTO,CTO,Director / Head,1,254387,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,REMOTE,2020-12-21,
EMP-00019,Carlos,Cruz,Carlos,carlos.cruz.19@example.com,CTO,IT,IT Department,IT-CTO,CTO,Director / Head,1,218968,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,REMOTE,2020-10-19,
